title,price,link
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light La...,"35,990",https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fq5007tu-thin-light-laptop/p/itmd2ff5362367f2?pid=COMGKW2NSU4SPZSG&lid=LSTCOMGKW2NSU4SPZSGEOIPKZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_117&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGKW2NSU4SPZSG.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
Lenovo IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IM...,"76,990",https://www.flipkart.com/lenovo-ideapad-slim-5-wuxga-oled-ai-pc-intel-core-ultra-125h-16-gb-1-tb-ssd-windows-11-home-14imh9-laptop/p/itm089031723a8df?pid=COMGXAU9B7GGGZH4&lid=LSTCOMGXAU9B7GGGZH4QBWTKF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_118&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGXAU9B7GGGZH4.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,"75,990",https://www.flipkart.com/hp-victus-ai-powered-amd-ryzen-7-octa-core-7840hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-16-s0095ax-gaming-laptop/p/itm64ae9ddc2dec6?pid=COMGS2XZGZHEJEZG&lid=LSTCOMGS2XZGZHEJEZGXWFBYW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_119&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGS2XZGZHEJEZG.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"45,990",https://www.flipkart.com/hp-backlit-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWGCQAVA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&iid=en_3-xNj6Klu_n43_M1NIslS3WpHNzrnA9pLLAGVmLOgnnAiHjJ1G3X7vpG6IHKozjGAf_xSeXJBLQBUMquEbH8_q8iqbiwhGf4dwbXVx7ZSks%3D&ssid=46p4cmk0340000001736938652819&qH=312f91285e048e09
ASUS Vivobook S 15 OLED Intel EVO H-Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 1...,"79,890",https://www.flipkart.com/asus-vivobook-s-15-oled-intel-evo-h-series-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-s5504va-ma541ws-thin-light-laptop/p/itm8486d594ff56b?pid=COMGZDQJF7PJEXDB&lid=LSTCOMGZDQJF7PJEXDB3LJHSL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_120&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGZDQJF7PJEXDB.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
Lenovo IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IM...,"76,990",https://www.flipkart.com/lenovo-ideapad-slim-5-wuxga-oled-ai-pc-intel-core-ultra-125h-16-gb-1-tb-ssd-windows-11-home-14imh9-laptop/p/itm089031723a8df?pid=COMGXAU9B7GGGZH4&lid=LSTCOMGXAU9B7GGGZH4QBWTKF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_121&otracker=search&otracker1=search&fm=Search&iid=4cca1ba9-fe32-4507-b61a-85aa209f6bb5.COMGXAU9B7GGGZH4.SEARCH&ppt=sp&ppn=sp&ssid=v8acbfnzcg0000001736938659473&qH=312f91285e048e09
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"70,990",https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15iax9-gaming-laptop/p/itme3e94a3f73f71?pid=COMHYXVABRPB2XQ5&lid=LSTCOMHYXVABRPB2XQ57M1XQE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_122&otracker=search&otracker1=search&fm=Search&iid=4cca1ba9-fe32-4507-b61a-85aa209f6bb5.COMHYXVABRPB2XQ5.SEARCH&ppt=sp&ppn=sp&ssid=v8acbfnzcg0000001736938659473&qH=312f91285e048e09
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,"36,890",https://www.flipkart.com/dell-inspiron-3520-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-15-laptop-thin-light/p/itm108ece6bfe39a?pid=COMGJ75HJGFDJ6JN&lid=LSTCOMGJ75HJGFDJ6JNAAYV5Z&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_123&otracker=search&otracker1=search&fm=Search&iid=4cca1ba9-fe32-4507-b61a-85aa209f6bb5.COMGJ75HJGFDJ6JN.SEARCH&ppt=sp&ppn=sp&ssid=v8acbfnzcg0000001736938659473&qH=312f91285e048e09
Lenovo V15 Series AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light L...,"31,490",https://www.flipkart.com/lenovo-v15-series-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itmdcccd5f5d1865?pid=COMGWB8RZZHCZGMA&lid=LSTCOMGWB8RZZHCZGMAPXBLCR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_124&otracker=search&otracker1=search&fm=Search&iid=4cca1ba9-fe32-4507-b61a-85aa209f6bb5.COMGWB8RZZHCZGMA.SEARCH&ppt=sp&ppn=sp&ssid=v8acbfnzcg0000001736938659473&qH=312f91285e048e09
Acer Aspire 3 Spin 14 Intel Core i3 13th Gen N305 - (8 GB/512 GB SSD/Windows 11 Home) A3SP14-31PT-3554...,"41,990",https://www.flipkart.com/acer-aspire-3-spin-14-intel-core-i3-13th-gen-n305-8-gb-512-gb-ssd-windows-11-home-a3sp14-31pt-3554-thin-light-laptop/p/itm3adc9b4b7ed0d?pid=COMGTG7YFSFDZHH9&lid=LSTCOMGTG7YFSFDZHH95EWADU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_125&otracker=search&otracker1=search&fm=Search&iid=4cca1ba9-fe32-4507-b61a-85aa209f6bb5.COMGTG7YFSFDZHH9.SEARCH&ppt=sp&ppn=sp&ssid=v8acbfnzcg0000001736938659473&qH=312f91285e048e09
